Количество,Цена
1,76.34
2,152.68
1,76.34
1,76.34
1,76.34
1,76.34
2,152.68
2,152.68
2,152.68
1,76.34
1,76.34
2,152.68
1,76.34
4,305.36
4,305.36
1,76.34
4,305.36
4,305.36
2,152.68
2,152.68
1,76.34
2,152.68
2,152.68
5,381.70000000000005
2,152.68
2,152.68
2,152.68
1,76.34
2,152.68
2,152.68
2,152.68
2,152.68
1,76.34
2,152.68
2,152.68
1,76.34
1,76.34
4,305.36
1,76.34
1,76.34
4,305.36
2,152.68
2,152.68
6,458.04
1,76.34
1,76.34
2,152.68
1,76.34
5,381.70000000000005
1,76.34
2,152.68
1,76.34
2,152.68
1,76.34
2,152.68
1,76.34
5,381.70000000000005
10,763.4000000000001
1,76.34
1,76.34
2,152.68
3,229.02
1,76.34
1,76.34
2,152.68
1,76.34
2,152.68
2,152.68
1,76.34
3,229.02
1,76.34
1,76.34
2,152.68
3,229.02
2,152.68
1,76.34
1,76.34
1,76.34
5,381.70000000000005
1,76.34
2,152.68
1,76.34
1,76.34
3,229.02
3,229.02
9,687.0600000000001
2,152.68
1,76.34
2,152.68
2,152.68
5,381.70000000000005
1,76.34
7,534.38
2,152.68
3,229.02
1,76.34
1,76.34
2,152.68
2,152.68
1,76.34
3,229.02
2,152.68
1,76.34
2,152.68
3,229.02
2,152.68
2,152.68
4,305.36
2,152.68
2,152.68
1,76.34
1,76.34
2,152.68
1,76.34
2,152.68
3,229.02
2,152.68
1,76.34
4,305.36
1,76.34
2,152.68
2,152.68
3,229.02
5,381.70000000000005
2,152.68
2,152.68
2,152.68
1,76.34
1,76.34
1,76.34
1,76.34
2,152.68
1,76.34
2,152.68
3,229.02
5,381.70000000000005
3,229.02
8,610.72
5,381.70000000000005
1,76.34
2,152.68
3,229.02
1,76.34
4,305.36
2,152.68
1,76.34
7,534.38
5,381.70000000000005
1,76.34
2,152.68
1,76.34
1,76.34
1,76.34
1,76.34
3,229.02
2,152.68
8,610.72
2,152.68
1,76.34
1,76.34
5,381.70000000000005
7,534.38
2,152.68
2,152.68
2,152.68
7,534.38
1,76.34
5,381.70000000000005
1,76.34
1,76.34
1,76.34
7,534.38
3,229.02
3,229.02
1,76.34
2,152.68
2,152.68
2,152.68
2,152.68
2,152.68
1,76.34
2,152.68
4,305.36
10,763.4000000000001
2,152.68
2,152.68
5,381.70000000000005
1,76.34
1,76.34
3,229.02
2,152.68
4,305.36
2,152.68
1,76.34
1,76.34
1,76.34
2,152.68
1,76.34
4,305.36
2,152.68
1,76.34
7,534.38
2,152.68
5,381.70000000000005
1,76.34
1,76.34
2,152.68
3,229.02
2,152.68
2,152.68
1,76.34
1,76.34
4,305.36
5,381.70000000000005
1,76.34
2,152.68
1,76.34
1,76.34
5,381.70000000000005
1,76.34
2,152.68
1,76.34
1,76.34
2,152.68
2,152.68
2,152.68
2,152.68
2,152.68
2,152.68
2,152.68
2,152.68
4,305.36
2,152.68
10,763.4000000000001
1,76.34
1,76.34
3,229.02
1,76.34
2,152.68
1,76.34
1,76.34
6,458.04
4,305.36
3,229.02
1,76.34
2,152.68
1,76.34
2,152.68
1,76.34
1,76.34
2,152.68
2,152.68
1,76.34
6,458.04
4,305.36
2,152.68
1,76.34
2,152.68
2,152.68
1,76.34
2,152.68
9,687.0600000000001
2,152.68
6,458.04
2,152.68
2,152.68
2,152.68
6,458.04
2,152.68
2,152.68
2,152.68
3,229.02
2,152.68
1,76.34
2,152.68
2,152.68
5,381.70000000000005
5,381.70000000000005
4,305.36
2,152.68
1,76.34
2,152.68
2,152.68
2,152.68
5,381.70000000000005
2,152.68
2,152.68
2,152.68
1,76.34
2,152.68
8,610.72
2,152.68
1,76.34
2,152.68
2,152.68
6,458.04
4,305.36
1,76.34
7,534.38
1,76.34
2,152.68
2,152.68
6,458.04
2,152.68
2,152.68
3,229.02
2,152.68
1,76.34
2,152.68
1,76.34
